Name,Team,Role,International Span,Age,Batting Style,Bowling Style
Kyle Mayers,West Indies,Batting Allrounder, 2020 - 2023,30y 162d,Left hand Bat,Right arm Medium
Gudakesh Motie,West Indies,Bowler, 2021 - 2023,27y 325d,Left hand Bat,Slow Left arm Orthodox
Keemo Paul,West Indies,Allrounder, 2018 - 2022,24y 361d,Right hand Bat,Right arm Fast medium
Anderson Phillip,West Indies,Bowler, 2021 - 2022,26y 179d,Right hand Bat,Right arm Fast medium
Nicholas Pooran,West Indies,Wicketkeeper Batter, 2016 - 2022,27y 138d,Left hand Bat,Right arm Offbreak
Rovman Powell,West Indies,Middle order Batter, 2016 - 2022,29y 209d,Right hand Bat,Right arm Medium fast
Jayden Seales,West Indies,Bowler, 2021 - 2022,21y 160d,Left hand Bat,Right arm Fast medium
Romario Shepherd,West Indies,Bowling Allrounder, 2019 - 2022,28y 83d,Right hand Bat,Right arm Fast medium
Kevin Sinclair,West Indies,Bowler, 2021 - 2022,23y 86d,Right hand Bat,Right arm Offbreak
Hayden Walsh,West Indies,Bowler, 2019 - 2022,30y 300d,Left hand Bat,Legbreak Googly
Gary Ballance,Zimbabwe,Middle order Batter, 2013 - 2023,33y 87d,Left hand Bat,Legbreak
Ryan Burl,Zimbabwe,Middle order Batter, 2017 - 2023,28y 308d,Left hand Bat,Legbreak
Regis Chakabva,Zimbabwe,Wicketkeeper Batter, 2008 - 2022,35y 150d,Right hand Bat,Right arm Offbreak
Tendai Chatara,Zimbabwe,Bowler, 2010 - 2023,31y 354d,Right hand Bat,Right arm Fast medium
Chamu Chibhabha,Zimbabwe,Top order Batter, 2005 - 2023,36y 164d,Right hand Bat,Right arm Medium
Tanaka Chivanga,Zimbabwe,Bowler, 2022 - 2023,29y 208d,Right hand Bat,Right arm Fast
Craig Ervine,Zimbabwe,Middle order Batter, 2010 - 2023,37y 182d,Left hand Bat,Right arm Offbreak
Brad Evans,Zimbabwe,Allrounder, 2022 - 2023,25y 330d,Right hand Bat,Right arm Fast
Luke Jongwe,Zimbabwe,Bowler, 2014 - 2023,28y 11d,Right hand Bat,Right arm Fast medium
Innocent Kaia,Zimbabwe,Opening Batter, 2021 - 2023,30y 191d,Right hand Bat,Legbreak
Takudzwanashe Kaitano,Zimbabwe,Opening Batter, 2021 - 2022,29y 247d,Right hand Bat,Right arm Offbreak
Clive Madande,Zimbabwe,Wicketkeeper Batter, 2022 - 2023,22y 311d,Right hand Bat,
Wessly Madhevere,Zimbabwe,Allrounder, 2020 - 2023,22y 166d,Right hand Bat,Right arm Offbreak
Tadiwanashe Marumani,Zimbabwe,Top order Batter, 2021 - 2023,21y 46d,Left hand Bat,Right arm Offbreak
Wellington Masakadza,Zimbabwe,Bowler, 2015 - 2023,29y 136d,Left hand Bat,Slow Left arm Orthodox
